pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
HD 63454 b,HD 63454,0,1,1,Radial Velocity,2005,2.818049,0.0368,,,0,12.31,1.098,126,0.398,,,1.05,0.84,114.8406393,-78.2791464,37.6894
HD 63454 b,HD 63454,1,1,1,Radial Velocity,2005,2.81805,0.04,0,0,0,,,79.4575,0.25,,,0.77,0.42,114.8406393,-78.2791464,37.6894
HD 63765 b,HD 63765,0,1,1,Radial Velocity,2009,358,0.94,0.016,-0.016,0,,,203.4,0.64,,G9 V,,0.86,116.9582617,-54.265345,32.5376
HD 63765 b,HD 63765,1,1,1,Radial Velocity,2009,358,0.94,0.02,-0.02,0,,,168.4499,0.53,,,0.83,0.65,116.9582617,-54.265345,32.5376
HD 63935 b,HD 63935,1,1,2,Transit,2021,9.058807,0.083,0.002,-0.002,0,2.916,0.26,10.5,0.03304,825,,0.96,0.94,117.9246417,9.3852412,48.9739
HD 63935 c,HD 63935,1,1,2,Radial Velocity,2021,21.4027,0.148,0.003,-0.003,0,3.065,0.273,11.1,0.03492,620,,0.96,0.94,117.9246417,9.3852412,48.9739
HD 64114 b,HD 64114,1,1,1,Radial Velocity,2019,45.791,0.246,0.005,-0.005,0,,,17.8,0.056,,G7 V,,0.95,117.982556,-11.0337221,31.5262
HD 64121 b,HD 64121,1,1,1,Radial Velocity,2022,623,1.51,0.006,-0.006,0,,,813.64072,2.56,,G8/K0 III,5.44,1.64,117.3651424,-54.8126136,129.966
HD 6434 b,HD 6434,0,1,1,Radial Velocity,2003,21.998,0.14,,,0,,,123.95,0.39,,,,0.79,16.1663441,-39.4904909,42.358
HD 6434 b,HD 6434,1,1,1,Radial Velocity,2003,21.998,0.14,0,0,0,,,155.7367,0.49,,,1.12,1.1,16.1663441,-39.4904909,42.358
HD 6434 b,HD 6434,0,1,1,Radial Velocity,2003,22.017,0.148,0.002,-0.002,0,,,139.8452,0.44,,,1.14,0.89,16.1663441,-39.4904909,42.358
HD 65216 b,HD 65216,0,3,2,Radial Velocity,2003,613.09998,1.37,0.03,-0.03,0,,,375.0394,1.18,,,0.88,0.88,118.4209646,-63.6466892,35.1205
HD 65216 b,HD 65216,0,3,2,Radial Velocity,2003,572.4,1.3,0.03,-0.03,0,,,400.45,1.26,,,0.89,1,118.4209646,-63.6466892,35.1205
HD 65216 b,HD 65216,1,3,2,Radial Velocity,2003,577.6,1.301,0.02,-0.02,0,,,411.58985,1.295,,,,0.87,118.4209646,-63.6466892,35.1205
HD 65216 b,HD 65216,0,3,2,Radial Velocity,2003,613.1,1.37,,,0,,,384.5743,1.21,,G5 V,,0.92,118.4209646,-63.6466892,35.1205
